NUMERO;NOM;TYPE_1;TYPE_2;POINTS_DE_VIE;POINTS_ATTAQUE;POINTS_DEFFENCE;POINTS_ATTAQUE_SPECIALE;POINT_DEFENSE_SPECIALE;POINTS_VITESSE;NOMBRE_GENERATIONS;LEGENDAIRE;Nb_Combats_Menes;Nb_Combats_Gagnes;Pourcentage_Victoires
59;Persian;Normal;None;65;70;60;65;65;115;1;0;120;103;85.83333333333333
60;Psykokwak;Eau;None;50;52;48;65;50;55;1;0;142;47;33.098591549295776
61;Akwakwak;Eau;None;80;82;78;95;80;85;1;0;115;79;68.69565217391305
62;Férosinge;Combat;None;40;80;35;35;45;70;1;0;118;55;46.61016949152542
63;;Combat;None;65;105;60;60;70;95;1;0;108;85;78.70370370370371
64;Caninos;Feu;None;55;70;45;70;50;60;1;0;120;54;45.0
65;Arcanin;Feu;None;90;110;80;100;80;95;1;0;114;91;79.82456140350878
66;Ptitard;Eau;None;40;50;40;40;40;90;1;0;0;0;0.0
67;Têtarte;Eau;None;65;65;65;50;50;90;1;0;125;90;72.0
68;Tartard;Eau;Combat;90;95;95;70;90;70;1;0;130;68;52.307692307692314
69;Abra;Psy;None;25;20;15;105;55;90;1;0;108;35;32.407407407407405
70;Kadabra;Psy;None;40;35;30;120;70;105;1;0;130;87;66.92307692307692
71;Alakazam;Psy;None;55;50;45;135;95;120;1;0;140;108;77.14285714285715
72;Mega Alakazam;Psy;None;55;50;65;175;95;150;1;0;110;86;78.18181818181819
73;Machoc;Combat;None;70;80;50;35;35;35;1;0;150;21;14.000000000000002
74;Machopeur;Combat;None;80;100;70;50;60;45;1;0;124;32;25.806451612903224
75;Mackogneur;Combat;None;90;130;80;65;85;55;1;0;116;51;43.96551724137931
76;Chétiflor;Herbe;Poison;50;75;35;70;30;40;1;0;108;23;21.296296296296298
77;Boustiflor;Herbe;Poison;65;90;50;85;45;55;1;0;121;45;37.1900826446281
78;Empiflor;Herbe;Poison;80;105;65;100;70;70;1;0;0;0;0.0
79;Tentacool;Eau;Poison;40;40;35;50;100;70;1;0;157;79;50.318471337579616
80;Tentacruel;Eau;Poison;80;70;65;80;120;100;1;0;117;94;80.34188034188034
81;Racaillou;Roche;Sol;40;80;100;30;30;20;1;0;135;16;11.851851851851853
82;Gravalanch;Roche;Sol;55;95;115;45;45;35;1;0;137;29;21.16788321167883
83;Grolem;Roche;Sol;80;120;130;55;65;45;1;0;135;50;37.03703703703704
84;Ponyta;Feu;None;50;85;55;65;65;90;1;0;115;86;74.78260869565217
85;Galopa;Feu;None;65;100;70;80;80;105;1;0;105;91;86.66666666666667
86;Ramoloss;Eau;Psy;90;65;65;40;40;15;1;0;122;24;19.672131147540984
87;Flagadoss;Eau;Psy;95;75;110;100;80;30;1;0;131;20;15.267175572519085
88;Mega Flagadoss;Eau;Psy;95;75;180;130;80;30;1;0;116;16;13.793103448275861
89;Magnéti;Electrique;Acier;25;35;70;95;55;45;1;0;143;24;16.783216783216783
90;Magnéton;Electrique;Acier;50;60;95;120;70;70;1;0;0;0;0.0
91;Canarticho;Normal;Vol;52;65;55;58;62;60;1;0;116;52;44.827586206896555
92;Doduo;Normal;Vol;35;85;45;35;35;75;1;0;134;87;64.92537313432835
93;Dodrio;Normal;Vol;60;110;70;60;60;100;1;0;143;121;84.61538461538461
94;Otaria;Eau;None;65;45;55;45;70;45;1;0;119;29;24.369747899159663
95;Lamantine;Eau;Glace;90;70;80;70;95;70;1;0;131;68;51.908396946564885
96;Tadmorv;Poison;None;80;80;50;40;50;25;1;0;142;25;17.6056338028169
97;Grotadmorv;Poison;None;105;105;75;65;100;50;1;0;133;50;37.59398496240601
98;Kokiyas;Eau;None;30;65;100;45;25;40;1;0;111;21;18.91891891891892
99;Crustabri;Eau;Glace;50;95;180;85;45;70;1;0;134;71;52.98507462686567
100;Fantominus;Spectre;Poison;30;35;30;100;35;80;1;0;128;61;47.65625
101;Spectrum;Spectre;Poison;45;50;45;115;55;95;1;0;111;77;69.36936936936937
102;Ectoplasma;Spectre;Poison;60;65;60;130;75;110;1;0;114;88;77.19298245614034
103;Mega Ectoplasma;Spectre;Poison;60;65;80;170;95;130;1;0;131;113;86.25954198473282
104;Onix;Roche;Sol;35;45;160;30;45;70;1;0;135;65;48.148148148148145
105;Soporifik;Psy;None;60;48;45;43;90;42;1;0;137;30;21.897810218978105
106;Hypnomade;Psy;None;85;73;70;73;115;67;1;0;119;61;51.26050420168067
107;Krabby;Eau;None;30;105;90;25;25;50;1;0;137;38;27.73722627737226
108;Krabboss;Eau;None;55;130;115;50;50;75;1;0;112;67;59.82142857142857
109;Voltorbe;Electrique;None;40;30;50;55;55;100;1;0;113;66;58.4070796460177
110;Électrode;Electrique;None;60;50;70;80;80;140;1;0;129;109;84.49612403100775
111;Noeunoeuf;Herbe;Psy;60;40;80;60;45;40;1;0;136;32;23.52941176470588
112;Noadkoko;Herbe;Psy;95;95;85;125;65;55;1;0;95;37;38.94736842105263
113;Osselait;Sol;None;50;50;95;40;50;35;1;0;143;29;20.27972027972028
114;Ossatueur;Sol;None;60;80;110;50;80;45;1;0;120;34;28.333333333333332
115;Kicklee;Combat;None;50;120;53;35;110;87;1;0;128;82;64.0625
116;Tygnon;Combat;None;50;105;79;35;110;76;1;0;140;87;62.142857142857146
117;Excelangue;Normal;None;90;55;75;60;75;30;1;0;136;19;13.970588235294118
118;Smogo;Poison;None;40;65;95;60;45;35;1;0;143;20;13.986013986013987
119;Smogogo;Poison;None;65;90;120;85;70;60;1;0;129;56;43.41085271317829
120;Rhinocorne;Sol;Roche;80;85;95;30;30;25;1;0;119;34;28.57142857142857
121;Rhinoféros;Sol;Roche;105;130;120;45;45;40;1;0;108;48;44.44444444444444
122;Leveinard;Normal;None;250;5;5;35;105;50;1;0;98;15;15.306122448979592
123;Saquedeneu;Herbe;None;65;55;115;100;40;60;1;0;129;49;37.98449612403101
124;Kangourex;Normal;None;105;95;80;40;80;90;1;0;126;95;75.39682539682539
125;Mega Kangourex;Normal;None;105;125;100;60;100;100;1;0;128;107;83.59375
126;Hypotrempe;Eau;None;30;40;70;70;25;60;1;0;133;55;41.35338345864661
127;Hypocéan;Eau;None;55;65;95;95;45;85;1;0;118;78;66.10169491525424
128;Poissirène;Eau;None;45;67;60;35;50;63;1;0;117;60;51.28205128205128
129;Poissoroy;Eau;None;80;92;65;65;80;68;1;0;114;55;48.24561403508772
130;Stari;Eau;None;30;45;55;70;55;85;1;0;142;80;56.33802816901409
131;Staross;Eau;Psy;60;75;85;100;85;115;1;0;129;116;89.92248062015504
132;M. Mime;Psy;Fée;40;45;65;100;120;90;1;0;136;76;55.88235294117647
133;Insécateur;Insecte;Vol;70;110;80;55;80;105;1;0;141;124;87.94326241134752
134;Lippoutou;Glace;Psy;65;50;35;115;95;95;1;0;135;99;73.33333333333333
135;Élektek;Electrique;None;65;83;57;95;85;105;1;0;129;115;89.14728682170544
136;Magmar;Feu;None;65;95;57;100;85;93;1;0;129;96;74.4186046511628
137;Scarabrute;Insecte;None;65;125;100;55;70;85;1;0;124;81;65.32258064516128
138;Mega Scarabrute;Insecte;Vol;65;155;120;65;90;105;1;0;121;105;86.77685950413223
139;Tauros;Normal;None;75;100;95;40;70;110;1;0;117;102;87.17948717948718
140;Magicarpe;Eau;None;20;10;55;15;20;80;1;0;139;25;17.985611510791365
141;Léviator;Eau;Vol;95;125;79;60;100;81;1;0;133;82;61.65413533834586
142;Mega Léviator;Eau;Obscur;95;155;109;70;130;81;1;0;137;93;67.88321167883211
143;Lokhlass;Eau;Glace;130;85;80;85;95;60;1;0;139;61;43.884892086330936
144;Métamorph;Normal;None;48;48;48;48;48;48;1;0;0;0;0.0
145;Évoli;Normal;None;55;55;50;45;65;55;1;0;99;37;37.37373737373738
146;Aquali;Eau;None;130;65;60;110;95;65;1;0;132;69;52.27272727272727
147;Voltali;Electrique;None;65;65;60;110;95;130;1;0;134;124;92.53731343283582
148;Pyroli;Feu;None;65;130;60;95;110;65;1;0;132;70;53.03030303030303
149;Porygon;Normal;None;65;60;70;85;75;40;1;0;128;23;17.96875
150;Amonita;Roche;Eau;35;40;100;90;55;35;1;0;128;23;17.96875
151;Amonistar;Roche;Eau;70;60;125;115;70;55;1;0;138;49;35.507246376811594
152;Kabuto;Roche;Eau;30;80;90;55;45;55;1;0;142;61;42.95774647887324
153;Kabutops;Roche;Eau;60;115;105;65;70;80;1;0;110;79;71.81818181818181
154;Ptéra;Roche;Vol;80;105;65;60;75;130;1;0;141;136;96.45390070921985
155;Mega Ptéra;Roche;Vol;80;135;85;70;95;150;1;0;129;127;98.44961240310077
156;Ronflex;Normal;None;160;110;65;65;110;30;1;0;112;40;35.714285714285715
157;Artikodin;Glace;Vol;90;85;100;95;125;85;1;1;139;95;68.34532374100719
158;Électhor;Electrique;Vol;90;90;85;125;90;100;1;1;121;93;76.85950413223141
159;Sulfura;Feu;Vol;90;100;90;125;85;90;1;1;136;100;73.52941176470588
160;Minidraco;Dragon;None;41;64;45;50;50;50;1;0;117;43;36.75213675213676
161;Draco;Dragon;None;61;84;65;70;70;70;1;0;116;58;50.0
162;Dracolosse;Dragon;Vol;91;134;95;100;100;80;1;0;138;87;63.04347826086957
163;Mewtwo;Psy;None;106;110;90;154;90;130;1;1;164;152;92.6829268292683
164;Mega Mewtwo X;Psy;Combat;106;190;100;154;100;130;1;1;135;125;92.5925925925926
165;Mega Mewtwo Y;Psy;None;106;150;70;194;120;140;1;1;125;119;95.19999999999999
166;Mew;Psy;None;100;100;100;100;100;100;1;0;113;94;83.1858407079646
167;Germignon;Herbe;None;45;49;65;49;65;45;2;0;120;33;27.500000000000004
168;Macronium;Herbe;None;60;62;80;63;80;60;2;0;113;49;43.36283185840708
169;Méganium;Herbe;None;80;82;100;83;100;80;2;0;129;88;68.21705426356588
170;Héricendre;Feu;None;39;52;43;60;50;65;2;0;121;61;50.413223140495866
171;Feurisson;Feu;None;58;64;58;80;65;80;2;0;151;92;60.9271523178808
172;Typhlosion;Feu;None;78;84;78;109;85;100;2;0;116;100;86.20689655172413
173;Kaiminus;Eau;None;50;65;64;44;48;43;2;0;132;29;21.96969696969697
174;Crocrodil;Eau;None;65;80;80;59;63;58;2;0;136;60;44.11764705882353
175;Aligatueur;Eau;None;85;105;100;79;83;78;2;0;138;81;58.69565217391305
176;Fouinette;Normal;None;35;46;34;35;45;20;2;0;125;9;7.199999999999999
177;Fouinar;Normal;None;85;76;64;45;55;90;2;0;138;93;67.3913043478261
178;Hoothoot;Normal;Vol;60;30;30;36;56;50;2;0;111;36;32.432432432432435
179;Noarfang;Normal;Vol;100;50;50;76;96;70;2;0;136;68;50.0
180;Coxy;Insecte;Vol;40;20;30;40;80;55;2;0;123;28;22.76422764227642
181;Coxyclaque;Insecte;Vol;55;35;50;55;110;85;2;0;137;86;62.77372262773723
182;Mimigal;Insecte;Poison;40;60;40;40;40;30;2;0;137;13;9.48905109489051
183;Migalos;Insecte;Poison;70;90;70;60;60;40;2;0;0;0;0.0
184;Nostenfer;Poison;Vol;85;90;80;70;80;130;2;0;122;113;92.62295081967213
185;Loupio;Eau;Electrique;75;38;38;56;56;67;2;0;114;60;52.63157894736842
186;Lanturn;Eau;Electrique;125;58;58;76;76;67;2;0;128;66;51.5625
187;Pichu;Electrique;None;20;40;15;35;35;60;2;0;105;36;34.285714285714285
188;Mélo;Fée;None;50;25;28;45;55;15;2;0;112;7;6.25
189;Toudoudou;Normal;Fée;90;30;15;40;20;15;2;0;115;5;4.3478260869565215
190;Togepi;Fée;None;35;20;65;40;65;20;2;0;122;3;2.459016393442623
191;Togetic;Fée;Vol;55;40;85;80;105;40;2;0;127;30;23.62204724409449
192;Natu;Psy;Vol;40;50;45;70;45;70;2;0;116;64;55.172413793103445
193;Xatu;Psy;Vol;65;75;70;95;70;95;2;0;121;88;72.72727272727273
194;Wattouat;Electrique;None;55;40;40;65;45;35;2;0;140;23;16.428571428571427
195;Lainergie;Electrique;None;70;55;55;80;60;45;2;0;108;24;22.22222222222222
196;Pharamp;Electrique;None;90;75;85;115;90;55;2;0;119;41;34.45378151260504
197;Mega Pharamp;Electrique;Dragon;90;95;105;165;110;45;2;0;128;37;28.90625
198;Joliflor;Herbe;None;75;80;95;90;100;50;2;0;139;30;21.58273381294964
199;Marill;Eau;Fée;70;20;50;20;50;40;2;0;122;19;15.573770491803279
200;Azumarill;E;Fée;100;50;80;60;80;50;2;0;128;44;34.375
201;Simularbre;Roche;None;70;100;115;30;65;30;2;0;123;30;24.390243902439025
202;Tarpaud;Eau;None;90;75;75;90;100;70;2;0;119;65;54.621848739495796
203;Granivol;Herbe;Vol;35;35;40;35;55;50;2;0;119;48;40.33613445378151
204;Floravol;Herbe;Vol;55;45;50;45;65;80;2;0;119;66;55.46218487394958
205;Cotovol;Herbe;Vol;75;55;70;55;95;110;2;0;135;114;84.44444444444444
206;Capumain;Normal;None;55;70;55;40;55;85;2;0;123;87;70.73170731707317
207;Tournegrin;Herbe;None;30;30;30;30;30;30;2;0;111;14;12.612612612612612
208;Héliatronc;Herbe;None;75;75;55;105;85;30;2;0;142;23;16.19718309859155
209;Yanma;Insecte;Vol;65;65;45;75;45;95;2;0;125;90;72.0
210;Axoloto;Eau;Sol;55;45;45;25;25;15;2;0;125;6;4.8
211;Maraiste;Eau;Sol;95;85;85;65;65;35;2;0;140;36;25.71428571428571
212;Mentali;Psy;None;65;65;60;130;95;110;2;0;142;117;82.3943661971831
213;Noctali;Obscur;None;95;65;110;60;130;65;2;0;127;67;52.75590551181102
214;Cornèbre;Obscur;Vol;60;85;42;85;42;91;2;0;158;130;82.27848101265823
215;Roigada;Eau;Psy;95;75;80;100;110;30;2;0;132;32;24.242424242424242
216;Feuforêve;Spectre;None;60;60;60;85;85;85;2;0;133;84;63.1578947368421
217;Zarbi;Psy;None;48;72;48;72;48;48;2;0;127;33;25.984251968503933
218;Qulbutoké;Psy;None;190;33;58;33;58;33;2;0;134;18;13.432835820895523
219;Girafarig;Normal;Psy;70;80;65;90;65;85;2;0;128;74;57.8125
220;Pomdepik;Insecte;None;50;65;90;35;35;15;2;0;109;16;14.678899082568808
221;Foretress;Insecte;Acier;75;90;140;60;60;40;2;0;123;37;30.081300813008134
222;Insolourdo;Normal;None;100;70;70;65;65;45;2;0;137;26;18.97810218978102
223;Scorplane;Sol;Vol;65;75;105;35;65;85;2;0;134;93;69.40298507462687
224;Steelix;Acier;Sol;75;85;200;55;65;30;2;0;149;25;16.778523489932887
225;Mega Steelix;Acier;Sol;75;125;230;55;95;30;2;0;145;50;34.48275862068966
226;Snubbull;Fée;None;60;80;50;40;40;30;2;0;137;21;15.328467153284672
227;Granbull;Fée;None;90;120;75;60;60;45;2;0;119;35;29.411764705882355
228;Qwilfish;Eau;Poison;65;95;75;55;55;85;2;0;150;104;69.33333333333334
229;Cizayox;Insecte;Acier;70;130;100;55;80;65;2;0;125;76;60.8
230;Mega Cizayox;Insecte;Acier;70;150;140;65;100;75;2;0;140;77;55.00000000000001
231;Caratroc;Insecte;Roche;20;10;230;10;230;5;2;0;135;0;0.0
232;Scarhino;Insecte;Combat;80;125;75;40;95;85;2;0;136;94;69.11764705882352
233;Mega Scarhino;Insecte;Combat;80;185;115;40;105;75;2;0;130;81;62.30769230769231
234;Farfuret;Obscur;Glace;55;95;55;35;75;115;2;0;113;106;93.80530973451327
235;Teddiursa;Normal;None;60;80;50;50;50;40;2;0;109;26;23.853211009174313
236;Ursaring;Normal;None;90;130;75;75;75;55;2;0;0;0;0.0
237;Limagma;Feu;None;40;40;40;70;40;20;2;0;123;4;3.2520325203252036
238;Volcaropod;Feu;Roche;50;50;120;80;80;30;2;0;124;9;7.258064516129033
239;Marcacrin;Glace;Sol;50;50;40;30;30;50;2;0;133;37;27.819548872180448
240;Cochignon;Glace;Sol;100;100;80;60;60;50;2;0;118;36;30.508474576271187
241;Corayon;Eau;Roche;55;55;85;65;85;35;2;0;139;28;20.14388489208633
242;Rémoraid;Eau;None;35;65;35;65;35;65;2;0;148;69;46.62162162162162
243;Octillery;Eau;None;75;105;75;105;75;45;2;0;113;37;32.743362831858406
244;Cadoizo;Glace;Vol;45;55;45;65;45;75;2;0;130;74;56.92307692307692
245;Démanta;Eau;Vol;65;40;70;80;140;70;2;0;131;78;59.541984732824424
246;Airmure;Acier;Vol;65;80;140;40;70;70;2;0;134;70;52.23880597014925
247;Malosse;Obscur;Feu;45;60;30;80;50;65;2;0;126;58;46.03174603174603
248;Démolosse;Obscur;Feu;75;90;50;110;80;95;2;0;139;111;79.85611510791367
249;Mega Démolosse;Obscur;Feu;75;90;90;140;90;115;2;0;135;128;94.81481481481482
250;Hyporoi;Eau;Dragon;75;95;95;95;95;85;2;0;136;88;64.70588235294117
251;Phanpy;Sol;None;90;60;60;40;40;40;2;0;132;39;29.545454545454547
252;Donphan;Sol;None;90;120;120;60;60;50;2;0;136;48;35.294117647058826
253;Porygon2;Normal;None;85;80;90;105;95;60;2;0;108;53;49.074074074074076
254;Cerfrousse;Normal;None;73;95;62;85;65;85;2;0;135;90;66.66666666666666
255;Queulorior;Normal;None;55;20;35;20;45;75;2;0;138;52;37.68115942028986
256;Debugant;Combat;None;35;35;35;35;35;35;2;0;127;17;13.385826771653544
257;Kapoera;Combat;None;50;95;95;35;110;70;2;0;139;72;51.798561151079134
258;Lippouti;Glace;Psy;45;30;15;85;65;65;2;0;127;46;36.22047244094488
259;Élekid;Electrique;None;45;63;37;65;55;95;2;0;144;116;80.55555555555556
260;Magby;Feu;None;45;75;37;70;55;83;2;0;131;81;61.832061068702295
261;Écrémeuh;Normal;None;95;80;105;40;70;100;2;0;128;103;80.46875
262;Leuphorie;Normal;None;255;10;10;75;135;55;2;0;128;40;31.25
263;Raikou;Electrique;None;90;85;75;115;100;115;2;1;97;91;93.81443298969072
264;Entei;Feu;None;115;115;85;90;75;100;2;1;134;109;81.34328358208955
265;Suicune;Eau;None;100;75;115;90;115;85;2;1;121;78;64.46280991735537
266;Embrylex;Roche;Sol;50;64;50;45;50;41;2;0;110;25;22.727272727272727
267;Ymphect;Roche;Sol;70;84;70;65;70;51;2;0;139;41;29.496402877697843
268;Tyranocif;Roche;Obscur;100;134;110;95;100;61;2;0;138;56;40.57971014492754
269;Mega Tyranocif;Roche;Obscur;100;164;150;95;120;71;2;0;124;70;56.451612903225815
270;Lugia;Psy;Vol;106;90;130;90;154;110;2;1;123;107;86.99186991869918
271;Ho-Oh;Feu;Vol;106;130;90;110;154;90;2;1;107;77;71.96261682242991
272;Celebi;Psy;Herbe;100;100;100;100;100;100;2;0;133;111;83.45864661654136
273;Arcko;Herbe;None;40;45;35;65;55;70;3;0;116;52;44.827586206896555
274;Massko;Herbe;None;50;65;45;85;65;95;3;0;105;76;72.38095238095238
275;Jungko;Herbe;None;70;85;65;105;85;120;3;0;122;113;92.62295081967213
276;Mega Jungko;Herbe;Dragon;70;110;75;145;85;145;3;0;126;119;94.44444444444444
277;Poussifeu;Feu;None;45;60;40;70;50;45;3;0;137;39;28.467153284671532
278;Galifeu;Feu;Combat;60;85;60;85;60;55;3;0;147;54;36.734693877551024
279;Braségali;Feu;Combat;80;120;70;110;70;80;3;0;123;79;64.22764227642277
280;Mega Braségali;Feu;Combat;80;160;80;130;80;100;3;0;123;104;84.5528455284553
281;Gobou;Eau;None;50;70;50;50;50;40;3;0;135;22;16.296296296296298
282;Flobio;Eau;Sol;70;85;70;60;70;50;3;0;148;42;28.37837837837838
283;Laggron;Eau;Sol;100;110;90;85;90;60;3;0;136;65;47.794117647058826
284;Mega Laggron;Eau;Sol;100;150;110;95;110;70;3;0;130;77;59.23076923076923
285;Medhyèna;Obscur;None;35;55;35;30;30;35;3;0;114;27;23.684210526315788
286;Grahyèna;Obscur;None;70;90;70;60;60;70;3;0;133;85;63.90977443609023
287;Zigzaton;Normal;None;38;30;41;30;41;60;3;0;107;31;28.971962616822427
288;Linéon;Normal;None;78;70;61;50;61;100;3;0;124;101;81.45161290322581
289;Chenipotte;Insecte;None;45;45;35;20;30;20;3;0;138;10;7.246376811594203
290;Armulys;Insecte;None;50;35;55;25;25;15;3;0;138;3;2.1739130434782608
291;Charmillon;Insecte;Vol;60;70;50;100;50;65;3;0;138;72;52.17391304347826
292;Blindalys;Insecte;None;50;35;55;25;25;15;3;0;133;7;5.263157894736842
293;Papinox;Insecte;Poison;60;50;70;50;90;65;3;0;139;55;39.568345323741006
294;Nénupiot;Eau;Herbe;40;30;30;40;50;30;3;0;126;10;7.936507936507936
295;Lombre;Eau;Herbe;60;50;50;60;70;50;3;0;127;36;28.346456692913385
296;Ludicolo;Eau;Herbe;80;70;70;90;100;70;3;0;123;69;56.09756097560976
297;Grainipiot;Herbe;None;40;40;50;30;30;30;3;0;126;11;8.73015873015873
298;Pifeuil;Herbe;Obscur;70;70;40;60;40;60;3;0;113;48;42.47787610619469
299;Tengalice;Herbe;Obscur;90;100;60;90;60;80;3;0;123;79;64.22764227642277
300;Nirondelle;Normal;Vol;40;55;30;30;30;85;3;0;125;86;68.8
301;Hélédelle;Normal;Vol;60;85;60;50;50;125;3;0;121;110;90.9090909090909
302;Goélise;Eau;Vol;40;30;30;55;30;85;3;0;120;56;46.666666666666664
303;Bekipan;Eau;Vol;60;50;100;85;70;65;3;0;124;59;47.58064516129033
304;Tarsal;Psy;Fée;28;25;25;45;35;40;3;0;143;23;16.083916083916083
305;Kirlia;Psy;Fée;38;35;35;65;55;50;3;0;136;36;26.47058823529412
306;Gardevoir;Psy;Fée;68;65;65;125;115;80;3;0;130;84;64.61538461538461
307;Mega Gardevoir;Psy;Fée;68;85;65;165;135;100;3;0;120;97;80.83333333333333
308;Arakdo;Insecte;Eau;40;30;32;50;52;65;3;0;128;47;36.71875
309;Maskadra;Insecte;Vol;70;60;62;80;82;60;3;0;144;63;43.75
310;Balignon;Herbe;None;60;40;60;40;60;35;3;0;144;26;18.055555555555554
311;Chapignon;Herbe;Combat;60;130;80;60;60;70;3;0;130;67;51.53846153846153
312;Parecool;Normal;None;60;60;60;35;35;30;3;0;134;15;11.194029850746269
313;Vigoroth;Normal;None;80;80;80;55;55;90;3;0;134;86;64.17910447761194
314;Monaflèmit;Normal;None;150;160;100;95;65;100;3;0;150;133;88.66666666666667
315;Ningale;Insecte;Sol;31;45;90;30;30;40;3;0;114;25;21.929824561403507
